# 词语评测集：取自改版前基础词库里最常用的 400 个多音节词，固定下来以后，词库扩充不会改变样本。
# 每行为“拼音<TAB>词语”。
yi ge	一个
gen ju	根据
zheng fu	政府
zhong yao	重要
cheng gong	成功
kao lv	考虑
xia zai	下载
neng li	能力
guo cheng	过程
fen xi	分析
ta de	他的
ji hui	机会
xia wu	下午
ti gao	提高
ren shi	认识
zhu yi	注意
jie shao	介绍
zhi qian	之前
cun zai	存在
jin ru	进入
ri ben	日本
qi zhong	其中
jin nian	今年
zeng jia	增加
ji zhe	记者
chu qu	出去
wu fa	无法
guo nei	国内
jue ding	决定
ren jia	人家
xiang guan	相关
wan quan	完全
dan wei	单位
zu zhi	组织
you ren	有人
ce shi	测试
hai yao	还要
ye wu	业务
hou lai	后来
ren he	任何
zheng zai	正在
zhuan ye	专业
zhi jian	之间
mei tian	每天
chu le	除了
jian yi	建议
lun tan	论坛
tou zi	投资
ju you	具有
ji hua	计划
kong jian	空间
bu xing	不行
yuan yin	原因
kai fa	开发
jian li	建立
ming zi	名字
can jia	参加
hui jia	回家
ren yuan	人员
quan bu	全部
hui qu	回去
shui jiao	睡觉
jian she	建设
xian shi	显示
shen zhi	甚至
wo guo	我国
zhao dao	找到
zui hao	最好
huo de	获得
dao le	到了
bu men	部门
zhe ci	这次
ren men	人们
biao zhun	标准
jing ji	经济
kong zhi	控制
wang shang	网上
cheng xu	程序
jian dan	简单
rang wo	让我
yi qie	一切
ben lai	本来
xiao guo	效果
shang ban	上班
cheng shi	城市
na ge	哪个
zhen shi	真是
dian ying	电影
hao le	好了
ye xu	也许
da dao	达到
ju ti	具体
su du	速度
fu ze	负责
huan jing	环境
jing chang	经常
xiao shi	小时
yin hang	银行
ban fa	办法
xiao xi	消息
sheng chan	生产
ti chu	提出
shen qing	申请
da xue	大学
kan lai	看来
shuo hua	说话
yin ci	因此
wo shi	我是
lai shuo	来说
ni hao	你好
xiang xin	相信
xu duo	许多
shuo ming	说明
zuo yong	作用
an quan	安全
ge zhong	各种
zhong yu	终于
zhen zheng	真正
ji de	记得
quan guo	全国
zheng chang	正常
tiao zheng	调整
cao zuo	操作
ling dao	领导
cai yong	采用
mei shi	没事
zi liao	资料
xia lai	下来
ling wai	另外
nu li	努力
xiu gai	修改
guo ji	国际
hang ye	行业
you guan	有关
jie shou	接受
tu pian	图片
yi shang	以上
cai neng	才能
rong yi	容易
you mei you	有没有
she zhi	设置
ma ma	妈妈
chan sheng	产生
ming bai	明白
yi wei	以为
shang mian	上面
li shi	历史
he zuo	合作
mu biao	目标
dai biao	代表
wo ye	我也
xu qiu	需求
zong shi	总是
zhe yi	这一
di yi	第一
an zhuang	安装
an zhao	按照
guang gao	广告
na yang	那样
gu piao	股票
ye you	也有
ye bu	也不
wen hua	文化
bu duan	不断
que ding	确定
fu wu qi	服务器
hao hao	好好
xiao shou	销售
ma fan	麻烦
zuo you	左右
zhong xin	中心
ying yong	应用
